cleaner__getlemmatisation,cleaner__removedigit,svm__C,svm__gamma,svm__kernel,tfidf__lowercase,tfidf__stop_words,accuracy
False,False,0.1,0.01,linear,False,english,0.5660510810211409
False,False,0.1,1.0,linear,False,english,0.5660510810211409
False,False,0.1,0.001,linear,False,english,0.5660510810211409
False,True,0.1,1.0,sigmoid,False,english,0.5660510810211409
False,False,10.0,0.01,sigmoid,False,english,0.5660510810211409
False,False,0.1,0.1,linear,False,english,0.5660510810211409
False,True,0.1,0.1,linear,True,english,0.5610400819981659
False,True,0.1,1.0,linear,True,english,0.5610400819981659
False,True,10.0,0.01,sigmoid,True,english,0.5610400819981659
False,True,1.0,0.1,sigmoid,True,english,0.5610400819981659
False,True,0.1,0.001,linear,True,english,0.5610400819981659
False,True,0.1,0.01,linear,True,english,0.5610400819981659
False,False,0.1,0.01,linear,True,english,0.5600420780061498
False,False,1.0,0.1,sigmoid,True,english,0.5600420780061498
False,False,0.1,0.1,linear,True,english,0.5600420780061498
False,False,0.1,0.001,linear,True,english,0.5600420780061498
False,False,0.1,1.0,linear,True,english,0.5600420780061498
False,False,10.0,0.01,sigmoid,True,english,0.5600420780061498
False,True,0.1,1.0,sigmoid,True,english,0.5580370789951629
False,False,0.1,1.0,sigmoid,True,english,0.5570420720121319
True,True,10.0,0.01,sigmoid,False,english,0.55004405603208
True,True,0.1,0.001,linear,False,english,0.55004405603208
True,True,0.1,1.0,linear,False,english,0.55004405603208
True,True,0.1,0.01,linear,False,english,0.55004405603208
True,True,0.1,0.1,linear,False,english,0.55004405603208
True,True,1.0,0.1,sigmoid,False,english,0.55004405603208
True,False,0.1,1.0,linear,False,english,0.549043055031079
True,False,0.1,0.001,linear,False,english,0.549043055031079
True,False,0.1,0.01,linear,False,english,0.549043055031079
True,False,1.0,0.1,sigmoid,False,english,0.549043055031079
True,False,10.0,0.01,sigmoid,False,english,0.549043055031079
True,False,0.1,0.1,linear,False,english,0.549043055031079
True,False,0.1,1.0,sigmoid,False,english,0.548042054030078
True,True,10.0,0.01,sigmoid,True,english,0.546040052028076
True,True,0.1,1.0,linear,True,english,0.546040052028076
True,True,0.1,0.1,linear,True,english,0.546040052028076
True,True,0.1,0.01,linear,True,english,0.546040052028076
True,True,0.1,0.001,linear,True,english,0.546040052028076
True,True,1.0,0.1,sigmoid,True,english,0.545039051027075
True,True,0.1,1.0,sigmoid,True,english,0.543034052016088
True,False,1.0,0.1,sigmoid,True,english,0.5420420420420421
True,False,0.1,0.01,linear,True,english,0.5420420420420421
True,False,0.1,0.001,linear,True,english,0.5420420420420421
True,False,0.1,1.0,linear,True,english,0.5420420420420421
True,False,0.1,0.1,linear,True,english,0.5420420420420421
True,False,10.0,0.01,sigmoid,True,english,0.5420420420420421
True,True,0.1,1.0,sigmoid,False,english,0.542036048024072
True,False,0.1,1.0,sigmoid,True,english,0.54004004004004
False,True,10.0,0.001,poly,True,english,0.5389191586796377
False,True,10.0,0.1,poly,True,english,0.5389191586796377
False,True,0.001,0.001,poly,True,english,0.5389191586796377
False,True,0.01,0.1,poly,True,english,0.5389191586796377
False,True,0.1,0.1,poly,True,english,0.5389191586796377
False,True,0.001,0.1,poly,True,english,0.5389191586796377
False,True,1.0,0.01,poly,True,english,0.5389191586796377
False,True,0.01,1.0,poly,True,english,0.5389191586796377
False,True,0.001,1.0,poly,True,english,0.5389191586796377
False,True,0.1,0.001,poly,True,english,0.5389191586796377
False,True,1.0,0.1,poly,True,english,0.5389191586796377
False,True,0.01,0.001,poly,True,english,0.5389191586796377
False,True,0.1,1.0,poly,True,english,0.5389191586796377
False,True,0.1,0.01,poly,True,english,0.5389191586796377
False,True,0.01,0.01,poly,True,english,0.5389191586796377
False,True,10.0,0.01,poly,True,english,0.5389191586796377
False,True,0.001,0.01,poly,True,english,0.5389191586796377
False,True,1.0,0.001,poly,True,english,0.5389191586796377
False,False,0.01,0.001,poly,True,english,0.5379211546876217
False,False,1.0,0.001,poly,True,english,0.5379211546876217
True,False,1.0,0.1,poly,True,english,0.5379211546876217
False,False,0.01,0.1,poly,False,english,0.5379211546876217
True,False,0.1,0.1,poly,True,english,0.5379211546876217
False,False,10.0,0.01,poly,False,english,0.5379211546876217
False,False,0.01,0.1,poly,True,english,0.5379211546876217
False,True,0.01,0.1,poly,False,english,0.5379211546876217
False,True,0.001,0.01,poly,False,english,0.5379211546876217
False,False,0.01,0.01,poly,False,english,0.5379211546876217
True,False,0.001,0.001,poly,True,english,0.5379211546876217
False,False,0.01,0.01,poly,True,english,0.5379211546876217
False,False,0.1,1.0,poly,True,english,0.5379211546876217
True,False,0.01,0.01,poly,True,english,0.5379211546876217
False,True,0.01,1.0,poly,False,english,0.5379211546876217
False,False,0.1,1.0,poly,False,english,0.5379211546876217
False,True,10.0,0.001,poly,False,english,0.5379211546876217
True,False,0.1,0.01,poly,True,english,0.5379211546876217
False,False,0.001,0.001,poly,True,english,0.5379211546876217
False,False,0.1,0.001,poly,True,english,0.5379211546876217
False,False,0.001,0.001,poly,False,english,0.5379211546876217
False,False,0.1,0.1,poly,False,english,0.5379211546876217
False,False,10.0,0.01,poly,True,english,0.5379211546876217
False,True,1.0,0.1,poly,False,english,0.5379211546876217
True,False,1.0,0.01,poly,True,english,0.5379211546876217
False,True,10.0,0.1,poly,False,english,0.5379211546876217
False,False,10.0,0.001,poly,False,english,0.5379211546876217
False,True,0.001,1.0,poly,False,english,0.5379211546876217
True,False,0.001,1.0,poly,True,english,0.5379211546876217
False,False,0.1,0.001,poly,False,english,0.5379211546876217
False,False,10.0,0.001,poly,True,english,0.5379211546876217
False,True,0.01,0.001,poly,False,english,0.5379211546876217
True,False,0.001,0.1,poly,True,english,0.5379211546876217
False,False,0.01,1.0,poly,False,english,0.5379211546876217
False,False,0.1,0.1,poly,True,english,0.5379211546876217
False,False,0.1,0.01,poly,True,english,0.5379211546876217
True,False,0.1,1.0,poly,True,english,0.5379211546876217
False,False,0.01,1.0,poly,True,english,0.5379211546876217
False,True,0.001,0.1,poly,False,english,0.5379211546876217
False,True,0.01,0.01,poly,False,english,0.5379211546876217
False,False,0.1,0.01,poly,False,english,0.5379211546876217
True,False,0.01,0.001,poly,True,english,0.5379211546876217
True,False,0.001,0.01,poly,True,english,0.5379211546876217
False,True,0.001,0.001,poly,False,english,0.5379211546876217
True,False,1.0,0.001,poly,True,english,0.5379211546876217
True,False,0.01,1.0,poly,True,english,0.5379211546876217
False,False,0.01,0.001,poly,False,english,0.5379211546876217
False,False,1.0,0.1,poly,True,english,0.5379211546876217
True,False,10.0,0.01,poly,True,english,0.5379211546876217
False,False,0.001,1.0,poly,True,english,0.5379211546876217
False,False,0.001,0.1,poly,False,english,0.5379211546876217
False,True,0.1,1.0,poly,False,english,0.5379211546876217
False,False,1.0,0.1,poly,False,english,0.5379211546876217
False,False,0.001,0.1,poly,True,english,0.5379211546876217
False,True,0.1,0.1,poly,False,english,0.5379211546876217
False,False,1.0,0.01,poly,True,english,0.5379211546876217
False,False,10.0,0.1,poly,False,english,0.5379211546876217
False,False,1.0,0.001,poly,False,english,0.5379211546876217
False,False,0.001,1.0,poly,False,english,0.5379211546876217
True,False,0.01,0.1,poly,True,english,0.5379211546876217
True,False,10.0,0.1,poly,True,english,0.5379211546876217
False,True,0.1,0.01,poly,False,english,0.5379211546876217
False,True,0.1,0.001,poly,False,english,0.5379211546876217
False,True,1.0,0.001,poly,False,english,0.5379211546876217
False,False,10.0,0.1,poly,True,english,0.5379211546876217
False,False,0.001,0.01,poly,False,english,0.5379211546876217
